epoch,step,test_acc,train_acc1,train_acc2,train_loss1,train_loss2
0,49,,,,0.01588955521583557,0.016298184171319008
0,99,,,,0.014302441850304604,0.014909284189343452
0,149,,,,0.013464751653373241,0.013700141571462154
0,199,,,,0.013714213855564594,0.014182818122208118
0,249,,,,0.014283290132880211,0.014096436090767384
0,299,,,,0.012642012909054756,0.012888594530522823
0,349,,,,0.012977393344044685,0.0134182283654809
0,389,0.3788999915122986,0.3298878073692322,0.31933093070983887,,
1,399,,,,0.01358573604375124,0.01270336378365755
1,449,,,,0.011909551918506622,0.012796053662896156
1,499,,,,0.010521243326365948,0.01112150214612484
1,549,,,,0.012512875720858574,0.012199293822050095
1,599,,,,0.011888572946190834,0.011423192918300629
1,649,,,,0.01179004181176424,0.010993068106472492
1,699,,,,0.011231684125959873,0.010944293811917305
1,749,,,,0.01183624379336834,0.011847707442939281
1,779,0.5910999774932861,0.4644431173801422,0.4600560963153839,,
2,799,,,,0.010716555640101433,0.010535909794270992
2,849,,,,0.01246888842433691,0.012568368576467037
2,899,,,,0.009302623569965363,0.00927228294312954
2,949,,,,0.010017482563853264,0.009543918073177338
2,999,,,,0.009300222620368004,0.009626372717320919
2,1049,,,,0.010079225525259972,0.009854520671069622
2,1099,,,,0.010040557011961937,0.010517533868551254
2,1149,,,,0.009328329935669899,0.00936026033014059
2,1169,0.637499988079071,0.5310496687889099,0.5301482081413269,,
3,1199,,,,0.009590723551809788,0.010166438296437263
3,1249,,,,0.007932381704449654,0.008007701486349106
3,1299,,,,0.00924043171107769,0.00913059152662754
3,1349,,,,0.009000511839985847,0.008898911066353321
3,1399,,,,0.008136694319546223,0.008450878784060478
3,1449,,,,0.008247067220509052,0.007630236446857452
3,1499,,,,0.008349892683327198,0.008577750064432621
3,1549,,,,0.008737954311072826,0.0090236971154809
3,1559,0.6929000020027161,0.5726362466812134,0.5737980604171753,,
4,1599,,,,0.010315428487956524,0.009767411276698112
4,1649,,,,0.007915941067039967,0.007950485683977604
4,1699,,,,0.007481328211724758,0.007855728268623352
4,1749,,,,0.00912304688245058,0.008782929740846157
4,1799,,,,0.008254945278167725,0.008325399830937386
4,1849,,,,0.01020556129515171,0.009830755181610584
4,1899,,,,0.007864730432629585,0.00725600216537714
4,1949,,,,0.006935978773981333,0.007359910290688276
4,1949,0.6988999843597412,0.6027644276618958,0.6061498522758484,,
5,1999,,,,0.008204850368201733,0.008529660291969776
5,2049,,,,0.006095814984291792,0.005803672596812248
5,2099,,,,0.006724826991558075,0.006417301949113607
5,2149,,,,0.008074519224464893,0.007410914171487093
5,2199,,,,0.006987318396568298,0.007493322715163231
5,2249,,,,0.007664310280233622,0.006748372223228216
5,2299,,,,0.005866131279617548,0.005937823560088873
5,2339,0.7185999751091003,0.6256009340286255,0.6328926086425781,,
6,2349,,,,0.0060512409545481205,0.006229190621525049
6,2399,,,,0.005658973939716816,0.005838350858539343
6,2449,,,,0.006886657793074846,0.0065203080885112286
6,2499,,,,0.005280641373246908,0.005116402171552181
6,2549,,,,0.0063234968110919,0.005998026579618454
6,2599,,,,0.006996799260377884,0.006542166694998741
6,2649,,,,0.005807905457913876,0.005703500006347895
6,2699,,,,0.007706725504249334,0.007574363145977259
6,2729,0.7526999711990356,0.646013617515564,0.6494591236114502,,
7,2749,,,,0.005451995879411697,0.005811732728034258
7,2799,,,,0.00856972485780716,0.007756870239973068
7,2849,,,,0.008241181261837482,0.008802912198007107
7,2899,,,,0.005892657209187746,0.006034539081156254
7,2949,,,,0.0036445020232349634,0.003796347649767995
7,2999,,,,0.00661390321329236,0.006822897586971521
7,3049,,,,0.007987682707607746,0.006957114674150944
7,3099,,,,0.006509238388389349,0.005813136231154203
7,3119,0.7404000163078308,0.6611378192901611,0.6645032167434692,,
8,3149,,,,0.005176896695047617,0.004712493624538183
8,3199,,,,0.0036728917621076107,0.003275049151852727
8,3249,,,,0.005246820393949747,0.0045679789036512375
8,3299,,,,0.005940445698797703,0.005762237124145031
8,3349,,,,0.0037953376304358244,0.0033408061135560274
8,3399,,,,0.007147105876356363,0.0076123252511024475
8,3449,,,,0.004209051840007305,0.004451766610145569
8,3499,,,,0.003018732415512204,0.0034083875361829996
8,3509,0.8141000270843506,0.6740184426307678,0.678826093673706,,
9,3549,,,,0.004045374225825071,0.003419584361836314
9,3599,,,,0.0037557410541921854,0.003876299597322941
9,3649,,,,0.0064950138330459595,0.0055346316657960415
9,3699,,,,0.0022278816904872656,0.001985979499295354
9,3749,,,,0.003932552877813578,0.0025496119633316994
9,3799,,,,0.005570635665208101,0.005108183715492487
9,3849,,,,0.005224726628512144,0.004116270691156387
9,3899,,,,0.0024684928357601166,0.0027884903829544783
9,3899,0.8184999823570251,0.6866185665130615,0.6877003312110901,,
10,3949,,,,0.003735538572072983,0.0045740846544504166
10,3999,,,,0.0035569649189710617,0.0031713468488305807
10,4049,,,,0.003908467944711447,0.003504534950479865
10,4099,,,,0.0036600048188120127,0.0033171444665640593
10,4149,,,,0.0036811388563364744,0.004072989337146282
10,4199,,,,0.004175338428467512,0.004602030850946903
10,4249,,,,0.00393146276473999,0.0036467602476477623
10,4289,0.8012999892234802,0.693830132484436,0.6963741779327393,,
11,4299,,,,0.003891770029440522,0.003999688662588596
11,4349,,,,0.0032631917856633663,0.002997963223606348
11,4399,,,,0.0027243264485150576,0.0031761641148477793
11,4449,,,,0.0032046539708971977,0.0028815430123358965
11,4499,,,,0.0023168870247900486,0.0020969759207218885
11,4549,,,,0.002823761897161603,0.002220490947365761
11,4599,,,,0.004425114020705223,0.004276148043572903
11,4649,,,,0.0012032666709274054,0.0011086604790762067
11,4679,0.8287000060081482,0.7029046416282654,0.7058493494987488,,
12,4699,,,,0.0028358681593090296,0.0031356203835457563
12,4749,,,,0.002690193010494113,0.0023942708503454924
12,4799,,,,0.002816340886056423,0.0031248496379703283
12,4849,,,,0.004839341156184673,0.005627292208373547
12,4899,,,,0.00404114555567503,0.004529023543000221
12,4949,,,,0.002884133253246546,0.0030076084658503532
12,4999,,,,0.0023367719259113073,0.002494026906788349
12,5049,,,,0.0044416747987270355,0.004686393309384584
12,5069,0.8313999772071838,0.7103766202926636,0.7127003073692322,,
13,5099,,,,0.00285716843791306,0.0021252483129501343
13,5149,,,,0.0017111930064857006,0.0017490251921117306
13,5199,,,,0.0049356031231582165,0.005715278442949057
13,5249,,,,0.003038361668586731,0.0030937008559703827
13,5299,,,,0.0021277721971273422,0.001905344775877893
13,5349,,,,0.0014766337117180228,0.0014740204205736518
13,5399,,,,0.0029319447930902243,0.0028967969119548798
13,5449,,,,0.0025793081149458885,0.0022747230250388384
13,5459,0.8496999740600586,0.7167267799377441,0.7176081538200378,,
